"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Van Beers R.; Jacobs M.; Borgoo A.; Hornikx M.; Janssens S.; Van Der Tempel W.; Borremans J.","Van Beers, R. (57718646900); Jacobs, M. (57199816647); Borgoo, A. (8585824400); Hornikx, M. (55363464500); Janssens, S. (7005391884); Van Der Tempel, W. (24475626200); Borremans, J. (23569270400)","57718646900; 57199816647; 8585824400; 55363464500; 7005391884; 24475626200; 23569270400","Accurate measurement of SpO2 and dermal skin hydration using a wearable miniaturized spectrometer","2022","Progress in Biomedical Optics and Imaging - Proceedings of SPIE","11956","","1195602","","","","4","10.1117/12.2607346","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128954430&doi=10.1117%2f12.2607346&partnerID=40&md5=7158fe0eaf5a6df968664ba18b7e6940","We present the performance of a CMOS miniaturized (4mm x 3.2mm x 3.3mm) spectrometer for two specific wearable health applications: reflective medically-accurate SpO2 and dermal H2O measurement for preventive health and remote follow-up use cases. The spectrometer has been manufactured using a monolithically integrated filter process, enabling low-cost, low-power, miniature and mass-producible spectral sensors. Accurate biomarker models can be built using continuous on-skin hyperspectral tissue and PPG data. A deoxygenation trial on 17 healthy volunteers was conducted using the wrist-worn spectrometer in the 650-900nm wavelength range. Using partial least squares (PLS) modeling, a model was built to correlate the obtained spectral PPG data to SpO2 data from a reference finger clip (Nonin 8000A). In the tested range between 87% and 100% SpO2, an RMSEP of 1.86%SpO2 has been obtained on a separate test set, well within the 3.5% requirement of the FDA. For dermal skin hydration, a study on 29 volunteers (including 4 patients with congestive heart failure (CHF) and fluid retention in legs) was conducted with the spectrometer in the 750-1050 nm range. A spectroscopic model was compared with a lymph scanner as gold standard measuring localized percentage water content (PWC), yielding a decent prediction accuracy of 3.3% RMSE, while correctly identifying the patients with CHF. We demonstrated the viability of a miniaturized spectrometer for wearable skin biomarker measurements. This solution has the potential to detect other tissue biomarkers such as SpCO or StO2, or to read subdermal markers such as hydrogels for glucose or lactate detection.  © COPYRIGHT SPIE. Downloading of the abstract is permitted for personal use only.","Conference paper","Final","","Scopus","2-s2.0-85128954430"
"Hina A.; Minto S.; Saadeh W.","Hina, Aminah (56367934400); Minto, Sameen (57904579100); Saadeh, Wala (56027359600)","56367934400; 57904579100; 56027359600","A 208μW PPG-based Glucose Monitoring SoC using Ensembled Boosted Trees","2022","20th IEEE International Interregional NEWCAS Conference, NEWCAS 2022 - Proceedings","","","","241","245","4","6","10.1109/NEWCAS52662.2022.9842163","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135210659&doi=10.1109%2fNEWCAS52662.2022.9842163&partnerID=40&md5=c9850ad3c0980e94370f3cba8486c89e","A noninvasive glucose monitoring system-on-chip (SoC) based on near-infrared (NIR) Photoplethysmography (PPG) is proposed in this paper. The proposed SoC includes a PPG-readout circuit, and a glucose estimation processor (GPP). Six different temporal and spectral features are extracted from the PPG signal after motion artifact and baseline removal from the PPG signal. The GPP utilizes Ensembled Boosted Trees to predict blood glucose levels. The SoC is implemented in 180um CMOS and consumes 208μW with an area of 4.5mm2. It achieves a mean absolute relative difference (mARD) of 5.83% (mARD) verified on 200 subjects. This improves (accuracy/power) figure of merit (FoM) by 5.5% compared to the state-of-the-artwork.  © 2022 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85135210659"
"Haque C.A.; Hossain S.; Kwon T.-H.; Kim K.-D.","Haque, Chowdhury Azimul (57208397367); Hossain, Shifat (36910252400); Kwon, Tae-Ho (57191905374); Kim, Ki-Doo (26221772100)","57208397367; 36910252400; 57191905374; 26221772100","Noninvasive in vivo estimation of blood‐glucose concentration by Monte Carlo simulation","2021","Sensors","21","14","4918","","","","13","10.3390/s21144918","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110260452&doi=10.3390%2fs21144918&partnerID=40&md5=1ceb4b580348b7962173fe771afac30f","Continuous monitoring of blood‐glucose concentrations is essential for both diabetic and nondiabetic patients to plan a healthy lifestyle. Noninvasive in vivo blood‐glucose measurements help reduce the pain of piercing human fingertips to collect blood. To facilitate noninvasive meas-urements, this work proposes a Monte Carlo photon simulation‐based model to estimate blood-glucose concentration via photoplethysmography (PPG) on the fingertip. A heterogeneous finger model was exposed to light at 660 nm and 940 nm in the reflectance mode of PPG via Monte Carlo photon propagation. The bio‐optical properties of the finger model were also deduced to design the photon simulation model for the finger layers. The intensities of the detected photons after simulation with the model were used to estimate the blood‐glucose concentrations using a supervised ma-chine‐learning model, XGBoost. The XGBoost model was trained with synthetic data obtained from the Monte Carlo simulations and tested with both synthetic and real data (n = 35). For testing with synthetic data, the Pearson correlation coefficient (Pearson’s r) of the model was found to be 0.91, and the coefficient of determination (R2) was found to be 0.83. On the other hand, for tests with real data, the Pearson’s r of the model was 0.85, and R2 was 0.68. Error grid analysis and Bland–Altman analysis were also performed to confirm the accuracy. The results presented herein provide the necessary steps for noninvasive in vivo blood‐glucose concentration estimation. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85110260452"
"Vijayarani R.; Anbarasi S.","Vijayarani, Ramachandran (56525331900); Anbarasi, S. (58886827100)","56525331900; 58886827100","Design and Implementation of Low-Cost Blood grouping Prediction Using Machine Learning","2023","2023 International Conference on System, Computation, Automation and Networking, ICSCAN 2023","","","","","","","0","10.1109/ICSCAN58655.2023.10395238","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185003284&doi=10.1109%2fICSCAN58655.2023.10395238&partnerID=40&md5=2ff53bae00498c8a9bacca410192deba","One of the most common illnesses worldwide is diabetes. A blood sample from a finger prick is currently required for invasive methods. A tedious process must be repeated and increases the risk of infection. In this paper, a low-cost non-invasive detector for blood grouping assessment without blood sampling is proposed and constructed. The foundation of this non-invasive gadget is the NIR spectroscopy technology, which uses specialized short wavelengths to identify blood clumping molecules. The proposed technique is implemented using CNN based machine learning techniques like feature extraction and model training etc. By using this proposed non-invasive device, the patient can have a proper dose of insulin or other kind of medication and can control the Blood grouping during physical activities. The simulation is developed and shown for the identification of kinds blood group using machine learning model. © 2023 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85185003284"
"Sumaiya J.; Hasan M.R.; Hossain E.","Sumaiya, Jannatun (57222252491); Hasan, Md. Rakibul (57215341043); Hossain, Eklas (26422996300)","57222252491; 57215341043; 26422996300","Noninvasive Blood Glucose Measurement Using Live Video by Smartphone","2020","IEEE Region 10 Humanitarian Technology Conference, R10-HTC","2020-December","","9357018","","","","4","10.1109/R10-HTC49770.2020.9357018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102030314&doi=10.1109%2fR10-HTC49770.2020.9357018&partnerID=40&md5=554f6240acc056f7effbafc584a64fe2","In this paper, we have presented the noninvasive monitoring of blood glucose concentration that was performed by using the smartphones camera, different lighting sources, and the near infra-spectroscopy used by transmission photoplethysmography (PPG). The system implementation was associated with getting the PPG signal at the near infra wavelengths of 850 nm and 1070 nm. The processing of the photoplethysmography (PPG) signal was carried out with the Linear Regression (LR), Support Vector Regression (SVR), Deep Neural Network (DNN), and Random Forest Regression (RFR) for estimating the glucose level in the blood. We have collected three sets of data and analyzed them using the Python programming language to find out the relation between blood glucose concentration and photoplethysmography (PPG). The predicted glucose level was 4.7 mg/dl with respect to 5 mg/dl.  © 2020 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85102030314"
"Dzundza B.S.; Kohut I.T.; Holota V.I.; Turovska L.V.; Deichakivskyi M.V.","Dzundza, B.S. (55339054400); Kohut, I.T. (57190194699); Holota, V.I. (24479274000); Turovska, L.V. (56106162200); Deichakivskyi, M.V. (57219123589)","55339054400; 57190194699; 24479274000; 56106162200; 57219123589","Principles of construction of hybrid microsystems for biomedical applications; [Принципи побудови гібридних мікросистем для біомедичних застосувань]","2022","Physics and Chemistry of Solid State","23","4","","776","784","8","7","10.15330/pcss.23.4.776-784","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145577901&doi=10.15330%2fpcss.23.4.776-784&partnerID=40&md5=ce7ea328242a8b20224b2ff2aaa1f91e","The paper analyzes the existing non-invasive methods and tools for measuring and monitoring heart rate (HR), glucose saturation and human blood glucose level (BGL), shows ways of improving them to increase accuracy and expand the number of parameters obtained by these methods, which became the basis for creating a hybrid microsystem device for biomedical applications. A block diagram of the microsystem and a prototype of software and hardware tools for continuous monitoring of heart rate, BGL, saturation level and other blood parameters by photoplethysmography (PPG) have been developed. The proposed algorithms and tools provide primary processing of signals from optical sensors, calculation of pulse wave parameters, data transmission to mobile devices and a remote server, the possibility of calibration during operation based on research results. © 2022 by the Author(s).","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85145577901"
"Haque M.R.; Raju S.M.T.U.; Golap M.A.-U.; Hashem M.M.A.","Haque, Md. Rezwanul (59662916300); Raju, S.M. Taslim Uddin (57222044321); Golap, Md. Asaf-Uddowla (57207737230); Hashem, M.M.A. (24448166000)","59662916300; 57222044321; 57207737230; 24448166000","A novel technique for non-invasive measurement of human blood component levels from fingertip video using dnn based models","2021","IEEE Access","9","","9335002","19025","19042","17","22","10.1109/ACCESS.2021.3054236","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100517300&doi=10.1109%2fACCESS.2021.3054236&partnerID=40&md5=2763dea0ae297eacb838f64a1fdc6a2b","Blood components such as hemoglobin, glucose, creatinine measuring are essential for monitoring one's health condition. The current blood component measurement approaches still depend on invasive techniques that are painful, and uncomfortable for the patients. To facilitate measurement at home, we proposed a novel non-invasive technique to measure blood hemoglobin, glucose, and creatinine level based on PPG signal using Deep Neural Networks (DNN). Fingertip videos from 93 subjects have been collected using a smartphone. The PPG signal is generated from each video, and 46 characteristic features are then extracted from the PPG signal, its derivatives (1 st and 2 nd) and from Fourier analysis. Additionally, age and gender are also included to feature because of the significant effects on hemoglobin, glucose, and creatinine. A correlation-based feature selection (CFS) using genetic algorithms (GA) has been used to select the optimal features to avoid redundancy and over-fitting. Finally, DNN based models have been developed to estimate the blood Hemoglobin (Hb), Glucose (Gl), and Creatinine (Cr) levels from the selected features. The approach provides the best-estimated accuracy of R2 = 0:922 for Hb, R2 = 0:902 for Gl, and R2 = 0:969 for Cr. Experimental aftermaths show that the proposed method is a suitable technique to be used clinically to measure human blood component levels without taking blood samples. This paper also reveals that smartphone-based PPG signal has a great potential to measure the different blood components. © 2013 IEEE.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85100517300"
"Buthelezi N.M.; Malele V.; Owolawi P.A.; Mapayi T.","Buthelezi, Njabulo M. (57889715800); Malele, Vusumuzi (57189887397); Owolawi, Pius A. (35095525200); Mapayi, Temitope (56241764800)","57889715800; 57189887397; 35095525200; 56241764800","IoT Based Health Monitor for Remote Patient","2022","5th International Conference on Artificial Intelligence, Big Data, Computing and Data Communication Systems, icABCD 2022 - Proceedings","","","","","","","2","10.1109/icABCD54961.2022.9856318","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137972661&doi=10.1109%2ficABCD54961.2022.9856318&partnerID=40&md5=e394d6a35beb34490e3f55282f65cf49","There are lot of people who die from cardiovascular diseases (CVDs) such as the heart attack. The CVDs are most likely caused by a delay in ignorance of early heart attack symptoms which are barely noticeable and patients receiving treatment. Those who attend regular checkups in their nearest medical care centers were advised to check their cardiovascular diseases (CVDs) risk factors like diabetes, tobacco smokers, etc. The use of electronic sensors in the healthcare environment in particular during diagnostics plays an important role in helping to detect potential CVDs. Conducting appropriate healthcare screening and monitoring can detect early symptoms that could be easily treatable. For example, a CVD such as heart disease can be attended to by following a healthy diet, physical exercise, taking the right drug medication, and avoiding substance (i.e. smoking tobacco, alcohol, etc). In this paper, an intelligent IoT based system which monitor's heartbeat was developed for remote patients. It exposes non-communicable CVDs symptoms by scanning human body in areas where photoelectric light can penetrate to detect a change in blood flow circulated by the heart. It uses the microcontroller, ESP32, to converts the analog photoelectric readings from a pulse sensor, MAX30102, into digital beats per minute (BPM), oxygen levels and a body temperature reading. The results showed a 90% accuracy with only few people showing a reading mismatch with a difference of 2-3%. Furthermore, it was noted that the system relied on the internet availability for the real-time reading to be transmitted to mobile application and online dashboard. In the future, a satellite based solutions will be used to improve the current system with the hope of achieving an uninterrupted internet connectivity. © 2022 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85137972661"
"Wouters F.; Gruwez H.; Vranken J.; Ernon L.; Mesotten D.; Vandervoort P.; Verhaert D.","Wouters, Femke (57211014005); Gruwez, Henri (57197765653); Vranken, Julie (57196049676); Ernon, Ludovic (14012964500); Mesotten, Dieter (56999027100); Vandervoort, Pieter (7006084424); Verhaert, David (8742119400)","57211014005; 57197765653; 57196049676; 14012964500; 56999027100; 7006084424; 8742119400","Will Smartphone Applications Replace the Insertable Cardiac Monitor in the Detection of Atrial Fibrillation? The First Comparison in a Case Report of a Cryptogenic Stroke Patient","2022","Frontiers in Cardiovascular Medicine","9","","839853","","","","3","10.3389/fcvm.2022.839853","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138526669&doi=10.3389%2ffcvm.2022.839853&partnerID=40&md5=0245911b02ebe00013267a285ff80ea5","Background and Case: This case report exemplifies the clinical application of non-invasive photoplethysmography (PPG)-based rhythm monitoring in the awakening mobile health (mHealth) era to detect symptomatic and asymptomatic paroxysmal atrial fibrillation (AF) in a cryptogenic stroke patient. Despite extensive diagnostic workup, the etiology remains unknown in one out of three ischemic strokes (i.e., cryptogenic stroke). Prolonged cardiac monitoring can reveal asymptomatic atrial fibrillation in up to one-third of this population. This case report describes a cryptogenic stroke patient who received prolonged cardiac monitoring with an insertable cardiac monitor (ICM) as standard of care. In the context of a clinical study, the patient simultaneously monitored his heart rhythm with a PPG-based smartphone application. AF was detected simultaneously on both the ICM and smartphone application after three days of monitoring. Similar AF burden was detected during follow-up (five episodes, median duration of 28 and 34 h on ICM and mHealth, respectively, p = 0.5). The detection prompted the initiation of oral anticoagulation and AF catheter ablation procedure. Conclusion: This is the first report of the cryptogenic stroke patient in whom PPG-based mHealth was able to detect occurrence and burden of the symptomatic and asymptomatic paroxysmal AF episodes with similar precision as ICM. It accentuates the potential role of PPG-based mHealth in prolonged cardiac rhythm monitoring in cryptogenic stroke patients. Copyright © 2022 Wouters, Gruwez, Vranken, Ernon, Mesotten, Vandervoort and Verhaert.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85138526669"
"Roy U.K.; Ganguly S.; Ukil A.","Roy, Uttam K. (26639768900); Ganguly, Shivashis (57818856100); Ukil, Arijit (26532154000)","26639768900; 57818856100; 26532154000","Non-invasive estimation of random blood glucose from smartphone-based PPG,Shivashis Ganguly,Arijit Ukil","2022","International Journal of Biomedical Engineering and Technology","39","3","","297","313","16","0","10.1504/IJBET.2022.124189","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134882344&doi=10.1504%2fIJBET.2022.124189&partnerID=40&md5=d41a76f38782f84d57a788bd954e138b","Traditional blood glucose metres are invasive in nature, i.e., blood is collected by needle pricking, which is painful and damages tissues over repetition resulting high risk of infections. Although, a few non-invasive methods have been proposed, they require high-end, costly, non-portable and custom devices. This paper proposes a non-invasive method to estimate average blood glucose using only smartphone that enables 24 × 7 monitoring without any extra hardware. The estimation is based on reflectance mode photoplethysmogram (PPG) that records the relative change in light absorbance of glycated haemoglobin (HbA1c) due to change in absorption coefficient and path length. Smartphone-based PPG gets often corrupted due to ambient noise, motion artefacts, etc. We rigorously cleaned the noisy PPG signal and measured reflected intensity from PPG of 25 patients, applied nonlinear regression to estimate glucose and cross-validated against a laboratory invasive method. The RMS error comes out to be 2.1525 mg/dL which is superior to existing non-invasive techniques. To prove the correctness, three standard techniques viz. geometric regression, Bland-Altman analyses and surveillance error grid are used. Copyright © 2022 Inderscience Enterprises Ltd.","Article","Final","","Scopus","2-s2.0-85134882344"
"","","","BioSMART 2023 - Proceedings: 5th International Conference on Bio-Engineering for Smart Technologies","2023","BioSMART 2023 - Proceedings: 5th International Conference on Bio-Engineering for Smart Technologies","","","","","","264","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165426306&partnerID=40&md5=fbde456b99e03b11bb5d7da4f7056dae","The proceedings contain 57 papers. The topics discussed include: investigating the impact of mechanical deformation on non-invasive serum glucose sensing using a double U-slot antenna; exploring the effectiveness of LSTM and self-attention models for artifact detection in PPG signals; remote aquaculture monitoring with image processing [ML] and AI; LungNet: a deep learning model for diagnosis of respiratory pathologies from lung sounds; robust non-singular fast terminal sliding mode gait tracking control of a pediatric exoskeleton; smart agriculture monitoring and controlling system using multi-agents model; fast R-peak detection from compressed ECG sensing measurements without reconstruction for energy-constrained cardiac health monitoring; analyzing the hypoglycemic risk of implantable glucose biofuel cells in type 2 diabetic patients using glucose-insulin simulation models; user identification through hidden Markov model-based touch keystroke dynamics; and multi-classifier deep learning based system for ECG classification using Fourier transform.","Conference review","Final","","Scopus","2-s2.0-85165426306"
"Islam T.T.; Ahmed M.S.; Hassanuzzaman M.; Amir S.A.B.; Rahman T.","Islam, Tanvir Tazul (58256022700); Ahmed, Md Sajid (59633563000); Hassanuzzaman, Md (6504320983); Amir, Syed Athar Bin (57202670668); Rahman, Tanzilur (56581345600)","58256022700; 59633563000; 6504320983; 57202670668; 56581345600","Blood glucose level regression for smartphone ppg signals using machine learning","2021","Applied Sciences (Switzerland)","11","2","618","1","20","19","46","10.3390/app11020618","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099233139&doi=10.3390%2fapp11020618&partnerID=40&md5=abadeae7bec80e147431c0bb94aed48b","Diabetes is a chronic illness that affects millions of people worldwide and requires regular monitoring of a patient’s blood glucose level. Currently, blood glucose is monitored by a minimally invasive process where a small droplet of blood is extracted and passed to a glucometer—however, this process is uncomfortable for the patient. In this paper, a smartphone video-based noninvasive technique is proposed for the quantitative estimation of glucose levels in the blood. The videos are collected steadily from the tip of the subject’s finger using smartphone cameras and subsequently converted into a Photoplethysmography (PPG) signal. A Gaussian filter is applied on top of the Asymmetric Least Square (ALS) method to remove high-frequency noise, optical noise, and motion interference from the raw PPG signal. These preprocessed signals are then used for extracting signal features such as systolic and diastolic peaks, the time differences between consecutive peaks (DelT), first derivative, and second derivative peaks. Finally, the features are fed into Principal Component Regression (PCR), Partial Least Square Regression (PLS), Support Vector Regression (SVR) and Random Forest Regression (RFR) models for the prediction of glucose level. Out of the four statistical learning techniques used, the PLS model, when applied to an unbiased dataset, has the lowest standard error of prediction (SEP) at 17.02 mg/dL. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85099233139"
"Susana E.; Ramli K.","Susana, Ernia (57201727157); Ramli, Kalamullah (55909526900)","57201727157; 55909526900","Review of Non-Invasive Blood Glucose Level Estimation based on Photoplethysmography and Artificial Intelligent Technology","2021","17th International Conference on Quality in Research, QIR 2021: International Symposium on Electrical and Computer Engineering","","","","158","163","5","6","10.1109/QIR54354.2021.9716164","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126947889&doi=10.1109%2fQIR54354.2021.9716164&partnerID=40&md5=5b6105e131fcd2eba0f989c0042804e4","The emergence of photoplethysmography for the non-invasive estimation of blood glucose levels in diabetes management offers an alternative solution to the limitations of invasive methods. The application of artificial intelligence technology to PPG signals for non-invasive measurement of monitoring blood glucose level (BGL) using either a machine learning (ML) or deep learning (DL) approach is proven to improve the resulting performance. This review is presented to provide concise information about current and proposed technologies developments of non-invasive blood glucose level monitoring methods using photoplethysmography. The study focuses on the opportunities and constraints in developing research on this topic. © 2021 IEEE","Conference paper","Final","","Scopus","2-s2.0-85126947889"
"Liao C.-Y.; Fang W.-C.","Liao, Chia-Yu (57417107500); Fang, Wai-Chi (7202236810)","57417107500; 7202236810","LRCN-based Noninvasive Blood Glucose Level Estimation","2023","Proceedings - IEEE International Symposium on Circuits and Systems","2023-May","","","","","","5","10.1109/ISCAS46773.2023.10182141","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167724964&doi=10.1109%2fISCAS46773.2023.10182141&partnerID=40&md5=20ee4dd40a0152d4d062d12d8b0468ee","Obtaining accurate assessments of blood glucose level (BGL) by any means that can be recorded easily in real-time has been a trending research focus area in recent years. Indeed, BGL indicators can help identify health risks associated with diabetes mellitus or provide efficient assistance and monitoring to patients diagnosed with diabetic conditions. However, the conventional methods of measuring blood glucose level require an invasive blood sampling technique to analyze the proportion of glucose in blood components. This method causes discomfort and relatively bulky equipment to remain available as portable systems. In this work, we proposed a system that uses long-term recurrent convolutional networks (LRCN) using non-invasive biomedical signal recording to estimate the blood glucose level. The proposed LRCN is combined with a robust feature extraction mechanism and can benefit from the temporal sensitivity of long short-term memory, to find a mathematical relationship between a photoplethysmogram (PPG) and blood glucose levels. The proposed system achieved 4.7 and 11.146 as mean absolute error (MAE) and root mean squared error (RMSE), respectively, on the predicted BGL values in comparison with standard BGL invasive blood sample recordings device values. © 2023 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85167724964"
"Tjahjadi H.; Sudaryanto H.; Budi Rahmanto A.; Lesmana A.V.; Ilham Irianto A.; Alifian O.","Tjahjadi, Hendrana (57195720684); Sudaryanto, Hery (57968390200); Budi Rahmanto, Agung (57968231600); Lesmana, Azka V (57968538100); Ilham Irianto, Ahmad (57967928300); Alifian, Oczha (57967928400)","57195720684; 57968390200; 57968231600; 57968538100; 57967928300; 57967928400","A Review of Non-Invasive Monitoring of Blood Glucose Levels Based on Photoplethysmography Signals Using Artificial Intelligence","2022","Proceedings - ICACSIS 2022: 14th International Conference on Advanced Computer Science and Information Systems","","","","111","116","5","0","10.1109/ICACSIS56558.2022.9923513","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142050632&doi=10.1109%2fICACSIS56558.2022.9923513&partnerID=40&md5=7cc648f9bcb5c11ba846e7e9298cdcfc","This paper discusses several cutting-edge non-invasive techniques for measuring blood glucose levels (BGL) using photoplethysmography (PPG) signals. These methods can be efficiently and precisely carried out using artificial intelligence algorithms (AI). The most important parameter for identifying the presence of health issues in a person's body is blood glucose. The state of blood circulation is reflected in the PPG signal. PPG-based BGL measurement utilizing AI is a non-invasive measurement approach because BGL measurement is still currently invasive. This study examines the development of this technology using data collected between 2009 and 2022. The future of non-invasive BGL employing PPG signals with artificial intelligence technology looks promising. Further studies may use the findings of the methodological mapping in this review as a guidance when deciding which BGL measuring methodology to use. © 2022 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85142050632"
"Abubeker K. M.; Baskar S.","Abubeker K., M. (55823138000); Baskar, S. (56396373800)","55823138000; 56396373800","Internet of Things based Real-Time Hyperglycemia and Hypoglycemia Monitoring using Wearable Biosensors","2022","Proceedings of the International Conference on Electronics and Renewable Systems, ICEARS 2022","","","","487","493","6","1","10.1109/ICEARS53579.2022.9751878","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128924309&doi=10.1109%2fICEARS53579.2022.9751878&partnerID=40&md5=1d4d9fc3500a3da2c5424cc641916bd0","Using non-invasive wearable devices and the Internet of Healthcare Things, blood glucose levels can now be monitored more accurately. Maintaining stable blood glucose levels is an ongoing problem for intensive care unit patients and pregnant women on a day-to-day basis. In order to deal with abnormal blood glucose levels, several clinical studies have established criteria and recommended continuous glucose monitoring. Glucose monitoring at the bedside has become more popular as a way to help patients better control their blood sugar levels. Because of the importance of technology in internet-based healthcare systems, cost-effective ICU glucose control must be addressed. Patients in intensive care units, women who are pregnant, and those who are separated from the rest of society were the primary focus of this research. This research developed the Internet of Healthcare-Things based wearable gadget for real-time Hypoglycemia and Hyperglycemia monitoring (iHM) using bio-sensors. The iHM device is 98.02 percent accurate after a 10-hour fasting and 97.40 percent accurate two hours after a breakfast. This architecture sends real-time blood glucose data to AWS IoT Core, making the job of nurses simpler and reducing burnout. © 2022 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85128924309"
"Prabha A.; Yadav J.; Rani A.; Singh V.","Prabha, Anju (57200993920); Yadav, Jyoti (57213104555); Rani, Asha (36630675700); Singh, Vijander (57718317300)","57200993920; 57213104555; 36630675700; 57718317300","Intelligent estimation of blood glucose level using wristband PPG signal and physiological parameters","2022","Biomedical Signal Processing and Control","78","","103876","","","","28","10.1016/j.bspc.2022.103876","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131969538&doi=10.1016%2fj.bspc.2022.103876&partnerID=40&md5=b79a5e4d571e36ab74491b1423648dc9","The inconvenience and risk associated with the regular use of invasive blood glucose measurements has led to tremendous research in this area. This paper proposes the design of a non-invasive blood glucose estimation system using novel Mel frequency cepstral coefficients features of wristband photoplethysmogram signal and physiological parameters. A dataset from 217 participants of a hospital in Cuenca Ecuador is used to validate the proposed model. The support vector regression (SVR) and extreme gradient boost regression (XGBR) techniques are used to estimate blood glucose levels (BGL). The XGBR technique achieves the least value for the standard error of prediction (SEP), 9.78 mg/dL. Further, 5 features are selected from the feature set based on the feature importance in XGBR. The XGBR model with the reduced feature set results in further reduction of SEP value (5.53 mg/dL) with a correlation coefficient of 0.99. Standard Clarke error grid analysis and Bland-Altman analysis shows that the predicted glucose values are in the clinically acceptable region. The results of the proposed model demonstrate the potential of wearable BGL monitoring technology. © 2022 Elsevier Ltd","Article","Final","","Scopus","2-s2.0-85131969538"
"Abubeker K.M.; Baskar S.","Abubeker, K.M. (55823138000); Baskar, S. (56396373800)","55823138000; 56396373800","A Machine Learning Strategy for Internet-of-Things-Enabled Diabetic Prediction to Mitigate Pneumonia Risk","2022","2022 10th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions), ICRITO 2022","","","","","","","4","10.1109/ICRITO56286.2022.9964842","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144597013&doi=10.1109%2fICRITO56286.2022.9964842&partnerID=40&md5=dd66bf36abf5d892a0da138223fdc364","Diabetes has been recently listed as the tenth-largest cause of mortality, accounting for 1.5 million fatalities, and it causes blindness, kidney failure, coronary artery disease, and even diabetic agony. Recent studies have shown that people with type 2 diabetes have an increased mortality risk if they are hospitalized for pneumonia. Non-invasive wearable gadgets and the Internet of Healthcare Things (IoHT) allow for more precise monitoring of blood glucose levels. Intensive care unit patients, expectant mothers, aged and bed-driven people have a constant battle to keep their blood glucose (BG) levels in check, including both hyper and hypoglycemia. Since internet-based healthcare systems heavily rely on technology to ensure adequate glucose control, the subject matters must be addressed cost-effectively. Using Photoplethysmograph and machine learning approaches, this research developed a hybrid non-invasive internet of things-based BG monitoring system to mitigate pneumonia risk. The developed IoT gadget is designed with MAX30102 and MLX90614 for measuring blood glucose and body temperature. The developed hardware, support vector machine (SVM), and k-nearest neighbors (K-NN) algorithm had deployed in Raspberry Pi 4B computer with graphical processing unit (GPU) support. A non-invasive glucose monitor that is more accurate than existing glucose monitoring technology would be a big step forward. This hybrid model offers 81.7% prediction accuracy and adaptability within the clinical laboratory precision criteria range. © 2022 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85144597013"
