Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Prototype of Glucose Meter with Non-Invasive Method Based on IoT,S. Maghrisya; A. M. Ridwan; M. R. Effendi; N. F. Arief Hakim; R. P. Sari; R. Ramdani,"Department of Electrical Engineering, UIN Sunan Gunung Djati Bandung, Bandung, Indonesia; Department of Electrical Engineering, UIN Sunan Gunung Djati Bandung, Bandung, Indonesia; Department of Electrical Engineering, UIN Sunan Gunung Djati Bandung, Bandung, Indonesia; Dept. of Electrical Eng. Education, Universitas Pendidikan Indonesia, Bandung, Indonesia; Department of Chemistry, UIN Sunan Gunung Djati Bandung, Bandung, Indonesia; Department of Mathematics, UIN Sunan Gunung Djati Bandung, Bandung, Indonesia",2023 9th International Conference on Wireless and Telematics (ICWT),11-Dec-23,2023,,,1,5,"Health is something that must always be maintained and considered, with the aim of obtaining a good quality of life. Technological advances currently have an important role in the process of maintaining human health. One of the utilization of technology is a system for checking blood glucose levels. Currently, the blood glucose checking system uses invasive methods, namely, using blood samples. Through the utilization of technological advances, especially control systems, checking blood glucose levels began to be developed non-invasively using photodiode sensors with the Photoplethysmograph (PPG) method. This method is a simple optical technique used to detect volumetric changes in peripheral circulation so that it can make measurements in the skin. The prototype of the ESP-32-based non-invasive blood sugar level measuring instrument is carried out with a system design process using a photodiode and LED sensors as an optical sensor circuit, ESP-32 microcontroller, 16x2 LCD, and Telegram bot. LED is used as a light source, and photodiode as a sensor that converts light to voltage. The microcontroller processes the data received from the sensor and then performs the conversion process into glucose levels. The results of the system processing are displayed in the form of LCD and notification via Telegram bot so that it can be monitored from anywhere by utilizing IoT. The experimental results show that the system made has been able to measure glucose levels with a non-invasive method. This is evidenced by the data obtained through 10 experimental tests and calculating the error; the average absolute error value is 4.243mg/dL.",2769-8289,979-8-3503-0502-9,10.1109/ICWT58823.2023.10335215,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10335215,ESR-32;photodiode;IoT;Photoplethysmograph;non-invasive,Optical variables measurement;Chatbots;Liquid crystal displays;Glucose;Delays;Photodiodes;Optical sensors,,1,,10,IEEE,11-Dec-23,,,IEEE,IEEE Conferences
Towards a Low-Cost Non-Invasive Glucose Sensor Using Near-Infrared Spectroscopy: Preliminary Results,M. Calero; M. Loza; D. Benítez,"Colegio de Ciencias e Ingenierías, Universidad San Francisco de Quito, Quito, Ecuador; Colegio de Ciencias e Ingenierías, Universidad San Francisco de Quito, Quito, Ecuador; Colegio de Ciencias e Ingenierías, Universidad San Francisco de Quito, Quito, Ecuador",2022 IEEE Biennial Congress of Argentina (ARGENCON),9-Nov-22,2022,,,1,6,"This paper presents the preliminary results of a non-invasive glucose sensor using near-infrared spectroscopy to obtain a glucose measurement by analyzing the glucose light absorption at two specific wavelengths. A data acquisition circuit, which includes LED control state, trans-impedance amplifier, and filtering circuits, was designed as well as an estimation algorithm using Partial Least Square (PLS) regression. Data were acquired through three different stages, each with different conditions. The system was calibrated using 60 samples from each wavelength and tested with 12 data samples. The results were evaluated using the Root Mean Square Error (RMSE) and Clarke’s grid error analysis.",,978-1-6654-8014-7,10.1109/ARGENCON55245.2022.9939839,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9939839,Diabetes;glucose sensor;non invasive;prototype;estimation.,Glucose sensors;Filtering;Error analysis;Wavelength measurement;Data acquisition;Estimation;Light emitting diodes,,,,22,IEEE,9-Nov-22,,,IEEE,IEEE Conferences
Live Demonstration: A Single LED PPG-Based Noninvasive Glucose Monitoring Prototype System,A. Hina; H. Nadeem; A. R. Aslam; W. Saadeh,"Lahore University of Management Sciences, Lahore, Pakistan; Lahore University of Management Sciences, Lahore, Pakistan; Lahore University of Management Sciences, Lahore, Pakistan; Lahore University of Management Sciences, Lahore, Pakistan",2019 IEEE International Symposium on Circuits and Systems (ISCAS),1-May-19,2019,,,1,1,This live demonstration showcases a noninvasive glucose monitoring device based on a single wavelength near-infrared (NIR) spectroscopy. The analog frontend record the Photoplethysmographic (PPG) signal from the fingertip. Ten discriminating features are extracted from the PPG signal to predict the blood glucose level using (Exponential Gaussian Process) machine learning regression. Visitors can easily insert their fingers into the finger-clip part of the system to measure their blood glucose level and display it on a mobile phone.,2158-1525,978-1-7281-0397-6,10.1109/ISCAS.2019.8702241,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8702241,,Feature extraction;Sugar;Blood;Monitoring;Fingers;Estimation;Biomedical monitoring,,7,,5,IEEE,1-May-19,,,IEEE,IEEE Conferences
Estimation of Blood Pressure and Glucose through Photoplethysmography and Artificial Intelligence,J. M. C. Gonzales; E. C. Viles; M. P. Claros,"Research Department UNIVALLE, Universidad Privada del Valle UNIVALLE, Cercado, Cochabamba, Bolivia; Research Department UNIVALLE, Universidad Privada del Valle UNIVALLE, Cercado, Cochabamba, Bolivia; Computer Science and Technology Department UNIVALLE, Universidad Privada del Valle UNIVALLE, Cercado, Cochabamba, Bolivia",2024 3rd International Congress of Biomedical Engineering and Bioengineering (CIIBBI),13-Dec-24,2024,,,1,4,"This article presents the development of a system for non-invasive measurement of blood pressure and glucose levels using photoplethysmography (PPG) and machine learning models. The system, called CARDIOPRESS, combines an optical sensor to capture heart rate and oxygen saturation (SpO2) data with machine learning algorithms to predict systolic and diastolic blood pressure, as well as blood glucose levels. Experimental results demonstrate a good approximation in the prediction of both blood pressure and glucose levels, validating its potential for continuous monitoring of cardiovascular and metabolic health.",,979-8-3315-3235-2,10.1109/CIIBBI63846.2024.10784558,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10784558,blood pressure;glucose;heart rate;oxygen saturation;Photoplethysmography,Hypertension;Training;Obesity;Biological system modeling;Prototypes;Photoplethysmography;Glucose;Biomedical monitoring;Monitoring;Diseases,,,,9,IEEE,13-Dec-24,,,IEEE,IEEE Conferences
Type 2 Diabetes Screening Test by Means of a Pulse Oximeter,E. M. Moreno; M. J. A. Luján; M. T. Rusiñol; P. J. Fernández; P. N. Manrique; C. A. Triviño; M. P. Miquel; M. A. Rodríguez; M. J. G. Burguillos,"Department of Signal Theory and Communications, Universitat Politècnica de Catalunya, Barcelona, Spain; Engineering Department, Synmed; SAP Delta del Llobregat. Institut Català de la Salut; SAP Delta del Llobregat. Institut Català de la Salut; SAP Delta del Llobregat. Institut Català de la Salut; SAP Delta del Llobregat. Institut Català de la Salut; SAP Delta del Llobregat. Institut Català de la Salut; SAP Delta del Llobregat. Institut Català de la Salut; SAP Delta del Llobregat. Institut Català de la Salut",IEEE Transactions on Biomedical Engineering,19-Jan-17,2017,64,2,341,351,"In this paper, we propose a method for screening for the presence of type 2 diabetes by means of the signal obtained from a pulse oximeter. The screening system consists of two parts: the first analyzes the signal obtained from the pulse oximeter, and the second consists of a machine-learning module. The system consists of a front end that extracts a set of features form the pulse oximeter signal. These features are based on physiological considerations. The set of features were the input of a machine-learning algorithm that determined the class of the input sample, i.e., whether the subject had diabetes or not. The machine-learning algorithms were random forests, gradient boosting, and linear discriminant analysis as benchmark. The system was tested on a database of 1157 subjects (two samples per subject) collected from five community health centers. The mean receiver operating characteristic area found was 69.4% (median value 71.9% and range [75.4-61.1%]), with a specificity = 64% for a threshold that gave a sensitivity = 65%. We present a screening method for detecting diabetes that has a performance comparable to the glycated haemoglobin (haemoglobin A1c HbA1c) test, does not require blood extraction, and yields results in less than 5 min.",1558-2531,,10.1109/TBME.2016.2554661,Spanish Ministerio de Economa y Competitividad(grant numbers:TEC2015-69266-P); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7454740,Boosting;machine learning;noninvasive treatment;photoplethysmography;screening;signal processing;statistical learning;type 2 diabetes,Diabetes;Sugar;Heart rate variability;Electrocardiography;Feature extraction;Blood;Plasmas,"Aged;Algorithms;Diabetes Mellitus, Type 2;Diagnosis, Computer-Assisted;Heart Rate;Humans;Middle Aged;Oximetry;Oxygen;Photoplethysmography;ROC Curve;Signal Processing, Computer-Assisted",27,,43,IEEE,20-Apr-16,,,IEEE,IEEE Journals
Skin Color Information Extraction using a Cylindrical Reflection Sensor for Glycated Hemoglobin Estimation using PPG signals,T. -H. Kwon; H. Kim; K. -D. Kim,"Dept. of Electronics Engineering, Kookmin University; Korea I.T.S. Co., Ltd., Gangnam, Seoul, Korea; Dept. of Electronics Engineering, Kookmin University",2022 IEEE International Conference on Consumer Electronics-Asia (ICCE-Asia),28-Nov-22,2022,,,1,3,"Glycated hemoglobin (HbA1c) is an important measure that should be monitored in daily life for the measurement and management of diabetes. Since the HbAl c reflects the average blood glucose level of about 3 months, it is possible to effectively monitor the blood glucose level of diabetic patients. In addition, a noninvasive HbAl c estimation method using the PPG signal has been the subject of recent research, and this method can enable convenient health management without the pain of blood collection and the risk of infection. Several methods have been proposed to noninvasively estimate HbA1c, but they do not secure sufficient accuracy. In order to overcome this, it is urgent to find a method to improve the accuracy by considering skin color and skin thickness. In this paper, we propose a method for extracting skin color information using a cylindrical object, and through this, we suggest the possibility of performance improvement by considering skin effect in a noninvasive HbAl c estimation.",,978-1-6654-6434-5,10.1109/ICCE-Asia57006.2022.9954708,National Research Foundation(grant numbers:NRF-2022R1A2C20 10298); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9954708,HbAlc;Noninvasive;Reflection sensor;PPG;Skin color information;Skin effect,Estimation;Color;Skin;Glucose;Diabetes;Data mining;Biomedical monitoring,,,,4,IEEE,28-Nov-22,,,IEEE,IEEE Conferences
Design and Implementation of Low- cost Diabetes Level Prediction using Machine Learning,R. Sofia; R. Murali; R. Sambathkumar; B. Navinkumar; K. Sivaraj,"Department of Electronic and communication Engineering, Manakula Vinayagar Institute of Technology, Puducherry, India; Department of Electronic and communication Engineering, Manakula Vinayagar Institute of Technology, Puducherry, India; Department of Electronic and communication Engineering, Manakula Vinayagar Institute of Technology, Puducherry, India; Department of Electronic and communication Engineering, Manakula Vinayagar Institute of Technology, Puducherry, India; Department of Electronic and communication Engineering, Manakula Vinayagar Institute of Technology, Puducherry, India","2023 International Conference on System, Computation, Automation and Networking (ICSCAN)",26-Jan-24,2023,,,1,5,"Diabetes is a chronic disease that affects millions of people worldwide. Machine learning techniques have been used to predict diabetes with high accuracy using clinical and lifestyle data. In this study, we propose a low-cost diabetes level prediction system using machine learning. The system will use a dataset of clinical and lifestyle data to train and test machine learning algorithms, including decision tree, random forest, and neural network. The proposed system aims to achieve high accuracy in diabetes prediction while minimizing the cost of implementation. The system will be implemented as a smart web application that can be accessed by healthcare professionals and patients. The results of this study will contribute to the development of low-cost and accessible diabetes prediction systems that can improve the quality of life of patients with diabetes. (Abstract)",,979-8-3503-1512-7,10.1109/ICSCAN58655.2023.10395480,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10395480,component;formatting;style;styling;insert,Machine learning algorithms;Neural networks;Diabetes;Glucose;Task analysis;Blood;Random forests,,,,8,IEEE,26-Jan-24,,,IEEE,IEEE Conferences
Estimation of Glycated Hemoglobin Using Multiwavelength Photoplethysmography Signal,S. K. Saini; S. Tiwari; A. Sharma; R. K. Maddila,"Dept. of ECE, MNIT Jaipur, Jaipur, India; Dept. of ECE, MNIT Jaipur, Jaipur, India; Dept. of ECE, MNIT Jaipur, Jaipur, India; Dept. of ECE, MNIT Jaipur, Jaipur, India",2024 IEEE Region 10 Symposium (TENSYMP),19-Nov-24,2024,,,1,6,"Diabetes mellitus is a metabolic disorder, and pro-longed exposure to sugar molecules in the blood stream results in hemoglobin glycation. It is measured in percentage of glycated hemoglobin $(\mathbf{HbA}_{1\mathrm{c}})$ cells in all hemoglobin cells. A suspected person may have symptoms such as abrupt weight loss, increased thirst and hunger, frequent urination, etc. The conventional method requires invasive blood testing methods performed in specific laboratories. The work proposes a non-invasive solution to measure $\%\mathbf{HbA}_{1\mathrm{c}}$ using Photoplethysmography (PPG) signal. A PPG sensor records these signals at two distinct wavelengths, i.e., green and infrared (IR). After initial preprocessing and feature extraction, a random forest regressor estimates the $\%\mathbf{HbA}_{1\mathrm{c}}$. The study is validated with recording of 9 subjects. The estimation of the results shows a high degree of correlation with 0.907 and 0.952 pearson's correlation coefficient $\mathbf{r}$ values for the reflective PPG signal. These calculated values are compared with the true $\%\mathbf{HbA}_{1\mathrm{c}}$ values. The results show a close approximation of the calculated values to the true values. Also, the error analysis is performed in terms of mean squared and root mean squared error.",2642-6102,979-8-3503-6486-6,10.1109/TENSYMP61132.2024.10752123,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10752123,Diabetes;Feature Extraction;Glycated Hemoglobin;Machine Learning (ML);Noninvasive;Photoplethysmography,Correlation coefficient;Wavelength measurement;Laboratories;Estimation;Photoplethysmography;Recording;Diabetes;Blood;Sugar;Random forests,,1,,20,IEEE,19-Nov-24,,,IEEE,IEEE Conferences
Estimation of Blood Glucose Concentration Using Photoplethysmographic Signals and Convolutional Neural Networks,K. Ocampo; C. Galindez,"Department of Physics, Universidad del Valle, Cali, Colombia; Department of Physics, Universidad del Valle, Cali, Colombia",2024 XVIII National Meeting on Optics and the IX Andean and Caribbean Conference on Optics and its Applications (ENO-CANCOA),22-Nov-24,2024,,,1,5,"This study examines the consequences of inadequate monitoring of blood glucose levels, which can lead to complications in diseases such as diabetes, a globally impactful condition with serious implications. We propose the development of a non-invasive system based on optical techniques. The combination of photoplethysmographic signals and convolutional neural networks (CNNs) aims to provide continuous and precise monitoring of blood glucose levels. The database used to train the CNNs consists of photoplethys-mographic (PPG) curves and blood glucose values collected at the University of Science and Technology in Mazandaran, Behshahr, Iran. It includes 67 PPG curves collected from 23 patients. Our CNN-based blood glucose estimation model achieved Mean Squared Error (MSE), Root Mean Squared Error (RMSE), Mean Absolute Error (MAE), and R-squared (R2) values of 3.67, 1.721, 1.194, and 0.971, respectively.",,979-8-3503-8785-8,10.1109/ENO-CANCOA61307.2024.10751027,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10751027,diabetes;reflectance;convolutional neural net-works,Optical filters;Accuracy;Databases;Estimation;Optical computing;Glucose;Convolutional neural networks;Kernel;Blood;Monitoring,,,,15,IEEE,22-Nov-24,,,IEEE,IEEE Conferences
Edge Classification of Non-Invasive Blood Glucose Levels Based on Photoplethysmography Signals,E. Susana; K. Ramli; P. D. Purnamasari; N. H. Apriyanto,"Department of Electrical Engineering, Universitas Indonesia, Depok, Indonesia; Department of Electrical Engineering, Universitas Indonesia, Depok, Indonesia; Department of Electrical Engineering, Universitas Indonesia, Depok, Indonesia; Department of Radiodiagnostic and Radiotherapy, Poltekkes Kemenkes Jakarta II, Jakarta, Indonesia",2022 5th International Seminar on Research of Information Technology and Intelligent Systems (ISRITI),7-Mar-23,2022,,,711,716,"Diabetes monitoring systems are critical for avoiding potentially significant medical bills. Only invasive methods are currently on the market. These procedures have substantial drawbacks since they cause patients uncomfortable while collecting blood specimens. An approach checking blood glucose levels (BGL) that is comfortable, continuous, and non-injury will become a new alternative to invasive procedures. Photoplethysmography can identify cardiovascular disease. Because of these qualities, PPG signals directly impact diabetes patients. Edge Computing (EC) is a relative newcomer to handling modern challenges more efficiently through machine learning. In this study, Edge Impulse uses the TensorFlow environment to train, optimize, and deploy machine learning models to embedded devices. The study examines three different forms of raw data used as inputs. We look at the original PPG signal, the PPG signal with instantaneous frequency, and the PPG signal with spectral entropy. The data set was created using Guilin People's Hospital's public database, including 219 people. The ages represented in the data set range from 20 to 89 years. According to the findings of the model testing, the PPG signal with instantaneous frequency shows the best results.",,978-1-6654-5512-1,10.1109/ISRITI56927.2022.10053027,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10053027,blood glucose level;machine learning;instantaneous frequency;photoplethysmography;edge impulse,Training;Seminars;Machine learning;Feature extraction;Photoplethysmography;Entropy;Glucose,,,,28,IEEE,7-Mar-23,,,IEEE,IEEE Conferences
Development of A Smart Non-Invasive Glucose Monitoring System With SpO2 and BPM for Diabetic Patient,K. A. M. Nabil; M. A. Islam; A. A. Noman; M. M. Khan,"Department of Electrical and Computer Engineering, North South University, Dhaka, Bangladesh; Department of Electrical and Computer Engineering, North South University, Dhaka, Bangladesh; Department of Electrical and Computer Engineering, North South University, Dhaka, Bangladesh; Department of Electrical and Computer Engineering, North South University, Dhaka, Bangladesh",2023 IEEE 13th Annual Computing and Communication Workshop and Conference (CCWC),18-Apr-23,2023,,,0193,0197,"In this paper, a compact healthcare system has been developed that measures the glucose, SpO2, and heartbeat of the patient in a non-invasive method, and the result is provided within a minute on a Liquid-crystal display (LCD). In this system, a fingertip is placed on a 940nm-wavelength Near-infrared (NIR) light-emitting diode (LED) and a Saturation of Peripheral Oxygen (SpO2) sensor to get glucose level, SpO2, and heartbeat measurements. Light of a specific wavelength interacts with the blood, and the optical sensor detects the signals that carry the information of glucose, SpO2, and heartbeat level. Upon receiving the signal, the optical sensor's output is filtered, amplified, and routed to the ESP32, which calculates and displays glucose, oxygen saturation (SpO2), and beats per minute (BPM) on a liquid-crystal display (LCD) screen.",,979-8-3503-3286-5,10.1109/CCWC57344.2023.10099236,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10099236,NIR LED;ESP32;Glucometer;SpO2;Healthcare,COVID-19;Heart beat;Pulse measurements;Wavelength measurement;Light emitting diodes;Liquid crystal displays;Glucose,,2,,16,IEEE,18-Apr-23,,,IEEE,IEEE Conferences
Non-Invasive Blood Glucose Monitoring using Near-Infrared Spectroscopy based on Internet of Things using Machine Learning,B. E. Manurung; H. R. Munggaran; G. F. Ramadhan; A. P. Koesoema,"Institut Teknologi Bandung, Bandung, Indonesia; Institut Teknologi Bandung, Bandung, Indonesia; Institut Teknologi Bandung, Bandung, Indonesia; Institut Teknologi Bandung, Bandung, Indonesia",2019 IEEE R10 Humanitarian Technology Conference (R10-HTC)(47129),19-Mar-20,2019,,,5,11,"According to International Diabetes Federation, Indonesia ranked 6th in country with highest number of diabetes patients in the world. Now, the measurement of blood glucose in Indonesia mostly done in invasive manner, which is expensive, painful, and impractical. Moreover, according to Indonesia's Ministry of Health, there are more diabetes patient in rural areas, who have economic shortages and limited access to health care. So, a cheap and easy to use non-invasive blood glucose measurement system is needed to solve this problem. One of the current trend non-invasive blood glucose is the use of Near-Infrared Spectroscopy (NIR). In this paper, we discuss the development of a NIR based blood glucose monitor. The device's sensor consists of a pair of LED and photodiode which transmit and receive light with wavelength of 940 nm. The light intensity reading from the sensor will be amplified and filtered to reduce noise, then transmitted to the smart-phone. In the smart-phone application, the reading result will be converted to blood glucose level using a machine learning model embedded in the application. The model used in this final project is a sequential, layer-based neural network model provided by Keras. The model was built and trained on top of TensorFlow, and then converted for mobile use with the help of TensorFlow Lite, The model achieved an acceptable result with Mean Absolute Error (MAE) of 5.855 mg/dL. The result then could be stored in the online database using Cloud Firestore.",2572-7621,978-1-7281-0834-6,10.1109/R10-HTC47129.2019.9042479,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9042479,diabetes;blood glucose level;NIR Spectroscopy;Internet of Things;Machine Learning,,,13,,24,IEEE,19-Mar-20,,,IEEE,IEEE Conferences
In-Vivo Estimation of Glucose Level Using PPG Signal,S. S. Gupta; S. Hossain; C. A. Haque; K. -D. Kim,"School of Electrical Engineering, Kookmin University, Seoul, Korea; School of Electrical Engineering, Kookmin University, Seoul, Korea; School of Electrical Engineering, Kookmin University, Seoul, Korea; School of Electrical Engineering, Kookmin University, Seoul, Korea",2020 International Conference on Information and Communication Technology Convergence (ICTC),21-Dec-20,2020,,,733,736,"Despite being at the start of the 21st-century, the non-invasive measurement of blood glucose still remains a challenging task in the scientific world. In recent times, several studies have been carried out based on the optical properties of light to measure the changes in blood volume and tried to calculate various physiological parameters including blood glucose using PPG signal. In our study, we try to develop a non-invasive method for blood glucose estimation by transmissive and reflective PPG signals of the subjects. We also develop a hardware system to collect PPG. In our proposed method, we accurately relate the features that are obtained from PPG to the original blood glucose values from a glucometer. Our proposed methodology has maximum correlation value of 0.91.",2162-1233,978-1-7281-6758-9,10.1109/ICTC49870.2020.9289629,Ministry of Education; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9289629,PPG;blood glucose;features;machine learning;regression,Volume measurement;Estimation;Predictive models;Optical variables measurement;Feature extraction;Glucose;Blood,,6,,20,IEEE,21-Dec-20,,,IEEE,IEEE Conferences
Continous monitoring of blood glucose using photophlythesmograph signal,L. A. Philip; K. Rajasekaran; E. S. J. Jothi,"Karunya Institute of Technology and Sciences, Coimbatore, Tamil Nadu, IN; Karunya Institute of Technology and Sciences, Coimbatore, Tamil Nadu, IN; Karunya Institute of Technology and Sciences, Coimbatore, Tamil Nadu, IN","2017 International Conference on Innovations in Electrical, Electronics, Instrumentation and Media Technology (ICEEIMT)",23-Nov-17,2017,,,187,191,"Diabetes, is a lifelong disease caused due to the decreased ability of the beta cells in the pancreas to produce insulin. At present blood glucose can be self monitored using a invasive glucose meter. This process involves pricking of finger by lancet, the blood from the pricked finger is extracted and chemical analysis is done using disposable blood strips. Invasive testing of blood glucose leads to risk of infection as finger is pricked at least three times a day. The ache and uneasiness has also lead to the development of non invasive blood glucose monitoring using photophlythesmographic signal. A photoplethysmographic (PPG) signal is obtained from a patient and various parameters that correlate with the value of blood glucose in the body are extracted. Clinical parameters of the patient are also received and both of these are trained using various machine learning algorithm and the algorithm showing best results is considered.",,978-1-5090-4527-3,10.1109/ICIEEIMT.2017.8116832,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8116832,machine learning algorithm;LabVIEW,Blood;Sugar;Diabetes;Feature extraction;Instruments;Fingers,,9,,10,IEEE,23-Nov-17,,,IEEE,IEEE Conferences
Optimizing Non-Invasive Blood Glucose Prediction Through Data Preprocessing and ResNet50,C. -Y. Chang; H. -C. Tsai; B. -X. Lee; L. Wang,"Department of Electrical Engineering, Feng Chia University, Taichung City, Taiwan; Department of Electrical Engineering, Feng Chia University, Taichung City, Taiwan; Department of Electrical Engineering, Feng Chia University, Taichung City, Taiwan; Department of Electrical Engineering, Feng Chia University, Taichung City, Taiwan",2024 IEEE-EMBS Conference on Biomedical Engineering and Sciences (IECBES),19-May-25,2024,,,197,202,"In recent years, non-invasive blood glucose measurement methods have garnered significant attention, leading to a surge in related research and numerous remarkable achievements. However, these studies often involve a limited number of participants and rarely address individual variability. For PPG signals, which exhibit significant individual differences, the accuracy and reliability still require validation. This study aims to address the issue of personalization. We utilized the MIMIC-III Waveform Database Matched Subset [1]–[3], employing 170,000 instances of 5-second PPG signals with blood glucose values ranging from 70 to 250 for training, covering 4,157 subjects to enhance the model's generalizability. We selected ResNet50 as our model and incorporated a data stratification preprocessing concept to select higher quality signals for training, thus improving data quality. This preprocessing approach helps in better feature extraction, reducing the need for complex structures to handle noise and outliers, thereby increasing the training efficiency and generalizability of the model. Our study aims to predict a blood glucose value ranging from 70 to 250, divided into 180 classes, and adheres to the reasonable error range according to the international ISO:15197 2013 standards for blood glucose accuracy. The accuracy for personalized data (specific individual data already trained in the model) reached 91.02%, with the best A zone in the Clarke Error Grid (representing no clinical risk) achieving 97.44%, meeting the ISO:15197 2013 medical equipment standards. For non-personalized data, we used 50,000 instances from 1,846 individuals not included in the model's training set, achieving an accuracy of 75.38%, with the best A zone in the Clarke Error Grid reaching 70.2%, demonstrating excellent results in non-personalized studies.",2573-3028,979-8-3503-8340-9,10.1109/IECBES61011.2024.10990615,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10990615,Non-invasive blood glucose;PPG signals;MIMIC-III;ResNet50;SQI;Non-Personalization,Training;Accuracy;Data integrity;Predictive models;Feature extraction;Data models;Glucose;Blood;Standards;Residual neural networks,,,,15,IEEE,19-May-25,,,IEEE,IEEE Conferences
Non-Invasive Blood Sugar Measurement System,S. Céelleri; L. M. T. S. Contento; B. Gamez; C. X. Rosero,"Facultad de Ingeniería en Ciencias Aplicadas, Universidad Técnica del Norte, Ibarra, Ecuador; Facultad de Ingeniería en Ciencias Aplicadas, Universidad Técnica del Norte, Ibarra, Ecuador; Facultad de Ingeniería en Ciencias Aplicadas, Universidad Técnica del Norte, Ibarra, Ecuador; Facultad de Ingeniería en Ciencias Aplicadas, Universidad Técnica del Norte, Ibarra, Ecuador",2023 IEEE Seventh Ecuador Technical Chapters Meeting (ECTM),10-Nov-23,2023,,,1,7,"Diabetes results from insufficient insulin production, increasing the risk of various health issues when not well-controlled. Managing it can be invasive and uncomfortable, often requiring blood samples or subdermal device implantation. The search of people with diabetes for a device that is easy to use, painless, requires less expense, and provides continuous monitoring has led researchers to find a way to measure glucose in a non-invasive way, which is why the project focuses on the development of a non-invasive glucometer using different infrared wavelengths. The system consists of implementing an optical sensor to detect photoplethysmography signals with a wavelength of 830nm, which is processed by an ESP32 microcontroller, determining the glucose absorbance to subsequently predict the glucose value in the patient’s blood through equations set forth for different absorbance ranges. In addition, the results are shown on the system screen after 60 seconds of entering the finger. The tests were developed in 29 volunteers, and a blood sample was extracted for a laboratory test to determine glucose. Later, the system was analyzed under the ISO 15197 standard that allows quantifying the measurement precision of the glucose level using the Clarke error grid locating all the glucose values obtained in section A, which makes the system clinically acceptable.",,979-8-3503-3823-2,10.1109/ETCM58927.2023.10309049,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10309049,Absorbance;blood glucose;diabetes;glucose;infrared wave,Temperature measurement;Temperature sensors;Microcontrollers;Wavelength measurement;Measurement uncertainty;Glucose;Biosensors,,2,,24,IEEE,10-Nov-23,,,IEEE,IEEE Conferences
